index,t,AveExpr,lods,logFC,CI.L,CI.R,adj.P.Val,P.Value,GENE,EFFECTSIZE,P,SNP
NIPAL3,-0.8012905631013293,5.462690652168304,-7.28454013890711,-0.13131917579842423,-0.45516301133286247,0.19252465973601401,0.5029183979352783,0.42424215976913693,NIPAL3,-0.13131917579842423,0.42424215976913693,0
FBXO7,-0.8009451260529106,6.683841034075294,-7.359268610375395,-0.06685574374463243,-0.23179858672879117,0.0980870992395263,0.5031196082196244,0.4244414933377181,FBXO7,-0.06685574374463243,0.4244414933377181,0
RGPD5,0.8006465339505778,1.5948271337596147,-6.691287995819229,0.2341175289816384,-0.34369987405683555,0.8119349320201124,0.5032888028881753,0.42461383970209066,RGPD5,0.2341175289816384,0.42461383970209066,0
GGCX,-0.8002335835265564,5.306224771780476,-7.279310684089503,-0.08646254108268536,-0.299967878191599,0.12704279602622823,0.503536286629038,0.4248522613724207,GGCX,-0.08646254108268536,0.4248522613724207,0
LRCH3,0.7998172566004815,3.9599156797001127,-7.080625023788586,0.10328066345955023,-0.15188707428709847,0.3584484012061989,0.5037861409710438,0.42509271246730074,LRCH3,0.10328066345955023,0.42509271246730074,0
ADNP2,0.7991639111713054,5.286849761637851,-7.272667371423632,0.09598306891483332,-0.1413489219421456,0.33331505977181225,0.504198373136527,0.4254702162674123,ADNP2,0.09598306891483332,0.4254702162674123,0
TTLL1,0.7988735578107911,3.5626132242650304,-7.007302835084175,0.10059173042834857,-0.1482262420729526,0.34940970292964973,0.5043620936875738,0.42563804623489787,TTLL1,0.10059173042834857,0.42563804623489787,0
ST6GAL1,-0.7987006147278368,5.940619636988249,-7.315605609606524,-0.20925727878001155,-0.7269762374403113,0.30846167988028816,0.5044454014569322,0.42573802929338656,ST6GAL1,-0.20925727878001155,0.42573802929338656,0
TNC,-0.7984427423196164,7.364290095014577,-7.367481751791908,-0.26503385348419783,-0.9209602185025807,0.390892511534185,0.5045646252752302,0.4258871379971849,TNC,-0.26503385348419783,0.4258871379971849,0
ZNF559,-0.7983994637544943,3.454529691517608,-6.988454542321813,-0.140589257738565,-0.4885493326822229,0.20737081720509287,0.5045646252752302,0.4259121658341045,ZNF559,-0.140589257738565,0.4259121658341045,0
RPS6KC1,0.7983725896880167,5.267040461842986,-7.2752161968041955,0.07725386616884578,-0.11395680202808184,0.2684645343657734,0.5045646252752302,0.4259277074453728,RPS6KC1,0.07725386616884578,0.4259277074453728,0
SGK494,-0.7981622388184626,0.9217043738952743,-6.5896874544717186,-0.1589820782441791,-0.5525815498656494,0.23461739337729132,0.5046735730900441,0.4260493675512763,SGK494,-0.1589820782441791,0.4260493675512763,0
KLRA1,-0.7980059410392955,0.622538336654066,-6.556691418543503,-0.18115667052135187,-0.6297426750217623,0.2674293339790586,0.5047454921886196,0.4261397783671643,KLRA1,-0.18115667052135187,0.4261397783671643,0
BRE,-0.79783731913634,4.999632238757918,-7.247996886488143,-0.06405584233194617,-0.22270651362886776,0.09459482896497542,0.5048258596082327,0.4262373307782401,BRE,-0.06405584233194617,0.4262373307782401,0
SMU1,0.797655273850387,6.505183932998256,-7.356068280150401,0.06030188655624258,-0.08908523962736728,0.20968901273985244,0.5049154303127904,0.4263426637553196,SMU1,0.06030188655624258,0.4263426637553196,0
PAPOLA,0.7974095282133046,7.767077799188027,-7.367752242132218,0.0629854346676737,-0.09309778834338522,0.21906865767873263,0.5050486645316822,0.4264848786270068,PAPOLA,0.0629854346676737,0.4264848786270068,0
BTG1,-0.7971803466282361,7.427042835537188,-7.369606853064307,-0.12195793816592371,-0.4242668879627401,0.18035101163089268,0.5051705592358208,0.426617532933516,BTG1,-0.12195793816592371,0.426617532933516,0
PRR5L,0.7969049708650504,3.1491590364928523,-6.916210499653412,0.14503411134283262,-0.214600214318641,0.5046684370043062,0.5053241340640453,0.4267769573742054,PRR5L,0.14503411134283262,0.4267769573742054,0
VPS28,0.7966597660020729,6.702790952967595,-7.3628129616091895,0.11663733432703793,-0.17267184640005268,0.40594651505412854,0.5054570421753591,0.4269189443707393,VPS28,0.11663733432703793,0.4269189443707393,0
FASLG,-0.7964639357130944,-0.5911735959503048,-6.414494284311186,-0.3196088876256217,-1.1125669996918948,0.47334922444065153,0.5055561075398586,0.4270323607665911,FASLG,-0.3196088876256217,0.4270323607665911,0
GDPD3,0.7958753950404364,1.4950326666531353,-6.677034084141181,0.3166429896437908,-0.46953759287618935,1.102823572163771,0.5059245298612695,0.4273733246895397,GDPD3,0.3166429896437908,0.4273733246895397,0
ATXN1L,-0.7954077540710476,5.708225444766927,-7.312178297031912,-0.1022877716867363,-0.3564034212141968,0.1518278778407242,0.506210126334001,0.4276443610066435,ATXN1L,-0.1022877716867363,0.4276443610066435,0
OVOL1,0.7951326858060954,3.7941881023262956,-7.0550795673935225,0.17096013144162647,-0.25390662463218894,0.5958268875154419,0.5063636314095863,0.4278038328553073,OVOL1,0.17096013144162647,0.4278038328553073,0
RPS6,-0.7947193943990096,10.213973554502289,-7.324389768761723,-0.11693654073569348,-0.4076960617787071,0.17382298030732013,0.5065726896269807,0.42804350582454986,RPS6,-0.11693654073569348,0.42804350582454986,0
MRPL17,-0.7946997097902648,5.892512004837159,-7.335000254217863,-0.09777745482500677,-0.340904453071074,0.14534954342106046,0.5065726896269807,0.4280549231500166,MRPL17,-0.09777745482500677,0.4280549231500166,0
INTS4L1,0.7946739443795638,0.45233228694955874,-6.538353223550138,0.18000579337391853,-0.26759930373598284,0.6276108904838199,0.5065726896269807,0.4280698676891407,INTS4L1,0.18000579337391853,0.4280698676891407,0
HIP1R,-0.7943959099760826,5.457205690602265,-7.295598837625065,-0.11791522795123655,-0.41122761863314367,0.17539716273067057,0.5067282733534714,0.4282311536417758,HIP1R,-0.11791522795123655,0.4282311536417758,0
ZNF691,-0.7942825017224026,3.687175535211451,-7.044796560491575,-0.07294893981064732,-0.25443426075346265,0.10853638113216799,0.5067708514484368,0.42829695128886247,ZNF691,-0.07294893981064732,0.42829695128886247,0
PRPF19,-0.7938908034836327,7.502649774219438,-7.372345534677953,-0.07866984884002903,-0.2744844439272047,0.11714474624714669,0.5070045068564075,0.42852425401536454,PRPF19,-0.07866984884002903,0.42852425401536454,0
UST,-0.7935961697734114,2.6944981822695215,-6.862252285398725,-0.2175387938636728,-0.7592086495812235,0.32413106185387786,0.5071715473274708,0.42869527684025255,UST,-0.2175387938636728,0.42869527684025255,0
SLC41A2,0.7929998587029548,3.372102892097349,-6.9666614137198,0.16561060999633703,-0.24706857213225708,0.5782897921249311,0.5075311293228991,0.4290415337202681,SLC41A2,0.16561060999633703,0.4290415337202681,0
PHTF2,-0.7929698903022272,5.21848211713726,-7.27648913483506,-0.09128256719455052,-0.3187549425244687,0.1361898081353676,0.5075311293228991,0.42905893965056996,PHTF2,-0.09128256719455052,0.42905893965056996,0
C16orf42,-0.7928123457684707,5.33239562407927,-7.288393648753028,-0.10958983377559761,-0.38273742692432206,0.16355775937312683,0.5076040498024128,0.4291504498241261,C16orf42,-0.10958983377559761,0.4291504498241261,0
C12orf53,0.7926212913945643,-1.1109835073524963,-6.3858724544374565,0.29543678597870837,-0.441103235493421,1.0319768074508378,0.5076999992904884,0.4292614396542689,C12orf53,0.29543678597870837,0.4292614396542689,0
MAPRE3,0.7913677559784896,4.03823564798433,-7.11447700491094,0.12547421768992706,-0.18783535175793925,0.43878378713779337,0.5085263953761316,0.42999007791644195,MAPRE3,0.12547421768992706,0.42999007791644195,0
ANKRD37,-0.7912756079583383,2.1727259911209713,-6.776736293798179,-0.1584447920657981,-0.5541280773586631,0.23723849322706692,0.5085543897291463,0.43004366909319414,ANKRD37,-0.1584447920657981,0.43004366909319414,0
MTHFD1,-0.790738581457332,6.4314920259076445,-7.358748091217566,-0.0906575890463408,-0.3172100323235225,0.13589485423084094,0.5088884173164899,0.4303560693361903,MTHFD1,-0.0906575890463408,0.4303560693361903,0
PENK,0.7905742831749235,-2.6225707790525483,-6.259789130739378,0.4067310078614792,-0.6098971029352631,1.4233591186582215,0.5089660568206805,0.4304516718713468,PENK,0.4067310078614792,0.4304516718713468,0
GDF10,0.7904164546650096,-1.1703834910031226,-6.376922515636905,0.40488060870470033,-0.6073244857964355,1.4170857032058362,0.5090392483646063,0.43054352147376485,GDF10,0.40488060870470033,0.43054352147376485,0
CRLS1,-0.7902505981362489,5.446519071875863,-7.301391413393571,-0.08699880806018356,-0.3045422439908503,0.13054462787048318,0.5090913058154115,0.43064005542704975,CRLS1,-0.08699880806018356,0.43064005542704975,0
HP,-0.7902378854704705,-1.1795558893697757,-6.42453090718813,-0.4938074922172806,-1.7286095440446954,0.7409945596101342,0.5090913058154115,0.43064745513996516,HP,-0.4938074922172806,0.43064745513996516,0
ACSL5,-0.7901201176720395,4.180774738227493,-7.124623260293734,-0.20260652254284395,-0.7093145879136294,0.30410154282794155,0.5091369352836571,0.4307160082628526,ACSL5,-0.20260652254284395,0.4307160082628526,0
CMIP,-0.7896332446753825,5.90378696926394,-7.334269473525251,-0.0945019807002403,-0.3309921003212582,0.1419881389207776,0.509436597992367,0.430999486917117,CMIP,-0.0945019807002403,0.430999486917117,0
MYBPC1,-0.7895307337698525,0.07199532061042185,-6.551376990260588,-0.6516551036323488,-2.2826262384660434,0.9793160312013458,0.5094717338223332,0.4310591871564967,MYBPC1,-0.6516551036323488,0.4310591871564967,0
C2,-0.7894675884575578,5.083500076969862,-7.239681657561641,-0.19938757915171124,-0.6984574016342833,0.29968224333086085,0.5094797734492968,0.4310959640964751,C2,-0.19938757915171124,0.4310959640964751,0
AKR1B10,0.7892045348334038,-2.3769590718125873,-6.27992256085555,0.47930915669626106,-0.7208080652420301,1.6794263786345522,0.5096254257256848,0.43124919092854763,AKR1B10,0.47930915669626106,0.43124919092854763,0
FAM96A,-0.7886546237779147,5.35363608001358,-7.285660279146326,-0.07768587112163061,-0.27233510576387754,0.11696336352061631,0.5099686258972044,0.43156961316146303,FAM96A,-0.07768587112163061,0.43156961316146303,0
